Sub Department Group,Item (Code),Product Long Name (EN),Sub Department,Budget Class,Collection,Class,Fabric (Code),Group of Level Price (shortname),Is High,IS_X,IS_Y,SubDepartment_Macro,Size_1
FJ,QR1,'3438 1178 1526 757 2970 2891 2896 3801 1064,X975C,Budget Class 16,Collection 10,Class 20,201.0,ITI,1,False,False,X975C,
FJ,ARS,'1409,HGG8G,Budget Class 16,Collection 10,Class 27,201.0,HETI,1,False,False,HGG8G,
FJ,CMS,'2393 496 2970 2891 2542,5SY0X,Budget Class 16,Collection 13,Class 29,201.0,HETI,1,False,False,,
FJ,C07,'2841 1152 496 1085 2891 331 1298 1596 1085 2027,5SY0X,Budget Class 16,Collection 15,Class 29,202.0,HETI,1,False,False,,
FJ,57T,'1409,5SY0X,Budget Class 4,Collection 5,Class 4,201.0,ATI,0,False,False,,
FJ,CYB,'3445 1152 496 2970 2891 331 1298 2440 1596 230,5SY0X,Budget Class 16,Collection 12,Class 29,201.0,HETI,1,False,False,,
FJ,8ON,'424 2400 1169 496 1085 2891 2542,5SY0X,Budget Class 16,Collection 19,Class 29,202.0,HETI,1,False,False,,
FJ,80S,'2703 1152 496 1085 2891 462 1596 1789 2542,5SY0X,Budget Class 16,Collection 5,Class 29,202.0,HETI,1,False,False,,
FJ,LKI,'3445 1904 1077 2970 2891 2896 3801 2542,N15MO,Budget Class 16,Collection 12,Class 19,201.0,HETI,1,False,False,N15MO,
FJ,392,'424 3587 1077 2970 2891 2896 3801 2542,N15MO,Budget Class 16,Collection 19,Class 12,201.0,HETI,1,False,False,N15MO,
FJ,S93,'1591 1178 3438 496 2970 2891 2896 3801 2542,5SY0X,Budget Class 16,Collection 10,Class 7,201.0,ITI,1,False,False,,
FJ,XPG,'1591 1178 3438 1077 2970 2891 2896 3801 1064,N15MO,Budget Class 16,Collection 10,Class 12,201.0,HETI,1,False,False,N15MO,
FJ,N5B,'1591 1178 3438 757 2970 2891 2896 3801 1064,X975C,Budget Class 16,Collection 10,Class 20,201.0,ITI,1,False,False,X975C,
FJ,A9J,'424 1684 3589 1085 2891 2542,HGG8G,Budget Class 16,Collection 19,Class 32,202.0,HETI,1,False,False,HGG8G,
FJ,Y2U,'424 882 757 2970 2891 2542,X975C,Budget Class 16,Collection 19,Class 20,201.0,HETI,1,False,False,X975C,
FJ,VQL,'1409,F9TFQ,Budget Class 12,Collection 15,Class 23,202.0,ATI,0,False,False,F9TFQ,
FJ,0FM,'424 882 757 3456 3809 2970 2891 2542,X975C,Budget Class 16,Collection 19,Class 20,201.0,HETI,1,False,False,X975C,
FJ,OC6,'424 882 757 3456 3809 2970 2891 2542,X975C,Budget Class 16,Collection 19,Class 20,201.0,HETI,1,False,False,X975C,
FJ,6TI,'368 496 2970 2891 1850 1565 2542 2190 3809,5SY0X,Budget Class 16,Collection 10,Class 7,201.0,HETI,1,False,False,,
FJ,KZZ,'3445 2518 2970 496 1062 2891 2896 3801 1062 3230,5SY0X,Budget Class 16,Collection 12,Class 7,203.0,HETI,1,False,False,,
